Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3,Report_Date_String,Delta_Deaths,Doses_Admin,Delta_Doses_Admin
Afghanistan,12/4/22,206206,7834,,,61,,529.7066217129571,,,,,4,AFG,2022/12/04,0,12275911,0
Afghanistan,12/5/22,206273,7835,,,67,,529.8787328234718,,,,,4,AFG,2022/12/05,1,12275911,0
Afghanistan,12/6/22,206331,7835,,,58,,530.0277245310814,,,,,4,AFG,2022/12/06,0,12304901,28990
Afghanistan,12/7/22,206414,7837,,,83,,530.2409368023158,,,,,4,AFG,2022/12/07,2,12304901,0
Afghanistan,12/8/22,206465,7839,,,51,,530.3719467521105,,,,,4,AFG,2022/12/08,2,12304901,0
Afghanistan,12/9/22,206504,7839,,,39,,530.4721308313652,,,,,4,AFG,2022/12/09,0,12304901,0
Afghanistan,12/10/22,206543,7839,,,39,,530.57231491062,,,,,4,AFG,2022/12/10,0,12304901,0
Afghanistan,12/11/22,206603,7839,,,60,,530.7264442633196,,,,,4,AFG,2022/12/11,0,12304901,0
Afghanistan,12/12/22,206702,7840,,,99,,530.980757695274,,,,,4,AFG,2022/12/12,1,12304901,0
Afghanistan,12/13/22,206743,7843,,,41,,531.0860794196187,,,,,4,AFG,2022/12/13,3,12304901,0
Afghanistan,12/14/22,206788,7843,,,45,,531.2016764341435,,,,,4,AFG,2022/12/14,0,12304901,0
Afghanistan,12/15/22,206879,7843,,,91,,531.4354392857379,,,,,4,AFG,2022/12/15,0,12304901,0
Afghanistan,12/16/22,206912,7843,,,33,,531.5202104297226,,,,,4,AFG,2022/12/16,0,12304901,0
Afghanistan,12/17/22,206943,7844,,,31,,531.5998439286175,,,,,4,AFG,2022/12/17,1,12304901,0
Afghanistan,12/18/22,207037,7845,,,94,,531.8413132478469,,,,,4,AFG,2022/12/18,1,12304901,0
Afghanistan,12/19/22,207084,7845,,,47,,531.9620479074615,,,,,4,AFG,2022/12/19,0,12304901,0
Afghanistan,12/20/22,207146,7845,,,62,,532.1213149052512,,,,,4,AFG,2022/12/20,0,12304901,0
Afghanistan,12/21/22,207190,7845,,,44,,532.2343430972309,,,,,4,AFG,2022/12/21,0,12304901,0
Afghanistan,12/22/22,207239,7845,,,49,,532.3602154019355,,,,,4,AFG,2022/12/22,0,12304901,0
Afghanistan,12/23/22,207262,7845,,,23,,532.4192983204704,,,,,4,AFG,2022/12/23,0,12449870,144969
